22 022222222222112101 0030220222222222  0 421112221222 02252 0222222222222 00222222  030142112122000121000 0000000000011 1 0332222 011022 0000044443130222222 002222221212233231134432121122223232 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000431 22 5 501131333212233112222102104 3 3 132131282155562333 1 0 1 111
21 411122212222112201 2043420222222222  0 022222222222 02221 3112212222222 01222212  012142112211441122000 0000000000011 2 0512221162004117020014101130222222 00222221222122310313223212112222210012 114 0261  0421100 8211 6 72222211222122225312222121221142 212122321 31 6 961215555401011511111224031 4 9 212123212148482322 1 2 3 2 8
21 311222222122213101 0010220222222222  0 511212221212 06552 0222222222222 00222222  0302002 0000000122000 0000000000011 0 0602222 020042 0000014211130222222 002222212222111101134451121121220212 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 000000221 44 8 803555555401031511111405044 6 2 553122432922532222 1 0 1 011
14 022222222223113210 0050420222222222  0 022222222222 04442 0222222222222 00222222  000152114222000122000 0000000000011 0 3532200 000020 0202034443111122222 012222112221233333311112222222124232 0  00 0000  0000000 00 0 0 02222222222222220022222222200000 100000221 23 5 60111153412513112122240600411 5 912537372324612333 1 0 1 710
23 022222222220212201 3242315212211112  01011111111112 01111 6111221221122 01221222  021132110211442121000 0000000000011 4 0461222 011022 0000044322130222222 002222212221233233113212122222223100 8  02 0133  0341254 0213 3 72212221222221226511222111221401 313123223 23 7 061134434112131511111212204 3 2 132217162144472244 1 5 6 318
22 022222222222112201 0045220222222222  0 321112222222 02241 1212222222222 01212222  030142113121762121000 0000000000021 3 05222111720042 0000014101130222222 002222212222122103233431112222222100 3  05 0373  051210010311 6 82222212122122221122222222121121 211134221 21 6 911111544111031511111416001 7 4 814411 0 003071552 1 0 1 4 8
14 022222222222111111 0043312222122122  0 411122222212 02111 3112221222222 01222122  000122110121432122000 0000000000011 0 3561200 000010 0202033342320222222 021122212221233313132412222222122100 5  06 0141  0322100 72 3 8 22112222122222225412222111224401 213124211 22 7 861113535114231511111414014 5 1 522118252452542333 2 0 2 510
11 211222222222111102 1010220222222222  0 121222222222 02351 2112222222222 01222221  700152113211342122000 0000000000011 0 3451200 000030 0202024332130222222 002222221212233333322212222222121100 6  02 0161  0342100102 713 92222221212221224511212121221121 212234422 0110104141144411103151111111600412 2 931537282048532333 2 1 3 911
22 022222222221102110 0110230222222222  0 221122222222 01111 3112212222222 01212222  0141321 9111562122000 0000000000011 4 05612111220042 0000024223220222222 012122212221233233222212221222222100 8  02 0373  0441248 02 1 9121222222212212226512112121221133 311111111 11 7 841111624402111121222112103 8 1 561438282054544444 1 1 2 910
21 211222222221112101 0110311222212222  0 311212222222 01121 2211222222222 01222122  0121321 9211442122000 0000000000011 5 0451212 014012 0000024234130222222 002222212221233203144412222221221100 2  05 0273  0321255 03 511102222122221122222312222211211121 313224331 41 5 651105534111031121222122204 4 8 012117192201052222 1 1 2 510
